ì˙ïtÇØ,èIíl
2014/1/6,16135.69
2014/1/6,16099.59
2014/1/6,16060.56
2014/1/6,16058.97
2014/1/6,16025.87
2014/1/6,16061.25
2014/1/6,16066.18
2014/1/6,16065.78
2014/1/6,16046.3
2014/1/6,16042.45
2014/1/6,16042.2
2014/1/6,16038.99
2014/1/6,15947.37
2014/1/6,15943.1
2014/1/6,15964.6
2014/1/6,15960.09
2014/1/6,15927.59
2014/1/6,15932.99
2014/1/6,15934.21
2014/1/6,15941.48
2014/1/6,15927.91
2014/1/6,15897.4
2014/1/6,15882.61
2014/1/6,15908.58
2014/1/6,15927.23
2014/1/6,15907.52
2014/1/6,15918.9
2014/1/6,15933.62
2014/1/6,15948.03
2014/1/6,15947.57
2014/1/6,15936.03
2014/1/6,15968.98
2014/1/6,15970.12
2014/1/6,15970.35
2014/1/6,15981.54
2014/1/6,15990.84
2014/1/6,15980.09
2014/1/6,15982.6
2014/1/6,15997.41
2014/1/6,16001.01
2014/1/6,16003.56
2014/1/6,15995.99
2014/1/6,15982.15
2014/1/6,15970.45
2014/1/6,15960.68
2014/1/6,15970.58
2014/1/6,15986.26
2014/1/6,15960.56
2014/1/6,15953.08
2014/1/6,15916.31
2014/1/6,15937.24
2014/1/6,15930.47
2014/1/6,15916.68
2014/1/6,15896.5
2014/1/6,15897.94
2014/1/6,15924.65
2014/1/6,15923.91
2014/1/6,15918.19
2014/1/6,15926.09
2014/1/6,15914.84
2014/1/6,15916.77
2014/1/6,15908.88
2014/1/7,15835.23
2014/1/7,15885.72
2014/1/7,15893.85
2014/1/7,15887.12
2014/1/7,15869.09
2014/1/7,15865.99
2014/1/7,15856.51
2014/1/7,15892.73
2014/1/7,15933.91
2014/1/7,15931.66
2014/1/7,15910.46
2014/1/7,15875.85
2014/1/7,15871.82
2014/1/7,15841.3
2014/1/7,15803.68
2014/1/7,15808.46
2014/1/7,15807.08
2014/1/7,15827.29
2014/1/7,15849.18
2014/1/7,15859.86
2014/1/7,15864.55
2014/1/7,15869.47
2014/1/7,15847.2
2014/1/7,15841.72
2014/1/7,15863.35
2014/1/7,15871.43
2014/1/7,15852.67
2014/1/7,15828.56
2014/1/7,15823.87
2014/1/7,15826.51
2014/1/7,15827.8
2014/1/7,15868.13
2014/1/7,15874.39
2014/1/7,15882.22
2014/1/7,15868.98
2014/1/7,15879.71
2014/1/7,15880.54
2014/1/7,15885.17
2014/1/7,15869.92
2014/1/7,15845.52
2014/1/7,15848.83
2014/1/7,15824.21
2014/1/7,15802.05
2014/1/7,15823.79
2014/1/7,15822.16
2014/1/7,15806.07
2014/1/7,15801.91
2014/1/7,15805.68
2014/1/7,15825.87
2014/1/7,15825.99
2014/1/7,15827.23
2014/1/7,15820.7
2014/1/7,15797.91
2014/1/7,15805.79
2014/1/7,15834.08
2014/1/7,15820.15
2014/1/7,15811.61
2014/1/7,15821.1
2014/1/7,15811.82
2014/1/7,15834.57
2014/1/7,15820.92
2014/1/7,15814.37
2014/1/8,15942.72
2014/1/8,15950.96
2014/1/8,15939.38
2014/1/8,15912.5
2014/1/8,15934.29
2014/1/8,15941.99
2014/1/8,15949.84
2014/1/8,15961.1
2014/1/8,15959.57
2014/1/8,15946.36
2014/1/8,15953.62
2014/1/8,15944.98
2014/1/8,15951.37
2014/1/8,15930.19
2014/1/8,15926.59
2014/1/8,15944.94
2014/1/8,15972.76
2014/1/8,15982.97
2014/1/8,15987.62
2014/1/8,15986.62
2014/1/8,15990.59
2014/1/8,15980.7
2014/1/8,15980.75
2014/1/8,15966.63
2014/1/8,15965.78
2014/1/8,15972.58
2014/1/8,15979.87
2014/1/8,15982.46
2014/1/8,15978.02
2014/1/8,15975.58
2014/1/8,15978.34
2014/1/8,15999.94
2014/1/8,16018.64
2014/1/8,16012.39
2014/1/8,16007.99
2014/1/8,16015.97
2014/1/8,16014.45
2014/1/8,16004.01
2014/1/8,16006.12
2014/1/8,15996.52
2014/1/8,15993.67
2014/1/8,16002.92
2014/1/8,16006.83
2014/1/8,16008.67
2014/1/8,16012.03
2014/1/8,16025.9
2014/1/8,16044.76
2014/1/8,16040.05
2014/1/8,16030.98
2014/1/8,16048.62
2014/1/8,16046.46
2014/1/8,16051.19
2014/1/8,16054.43
2014/1/8,16046.53
2014/1/8,16055.86
2014/1/8,16057.68
2014/1/8,16056.51
2014/1/8,16074.01
2014/1/8,16072.29
2014/1/8,16094.28
2014/1/8,16116.54
2014/1/8,16121.45
2014/1/9,15976.3
2014/1/9,15990.37
2014/1/9,15993.62
2014/1/9,15948.88
2014/1/9,15942.29
2014/1/9,15901.01
2014/1/9,15922.65
2014/1/9,15931.01
2014/1/9,15932.93
2014/1/9,15934.03
2014/1/9,15919.48
2014/1/9,15901.97
2014/1/9,15880.44
2014/1/9,15870.9
2014/1/9,15882.03
2014/1/9,15888.22
2014/1/9,15877.46
2014/1/9,15883.41
2014/1/9,15883.96
2014/1/9,15894.24
2014/1/9,15906.62
2014/1/9,15897.34
2014/1/9,15906.56
2014/1/9,15891.12
2014/1/9,15907.55
2014/1/9,15921.22
2014/1/9,15929.42
2014/1/9,15925.91
2014/1/9,15920.15
2014/1/9,15924.9
2014/1/9,15914.54
2014/1/9,15927.04
2014/1/9,15920.06
2014/1/9,15905.41
2014/1/9,15881.26
2014/1/9,15864.06
2014/1/9,15855.25
2014/1/9,15868.88
2014/1/9,15875.88
2014/1/9,15865.69
2014/1/9,15872.61
2014/1/9,15858.25
2014/1/9,15843.69
2014/1/9,15866.52
2014/1/9,15849.3
2014/1/9,15847.5
2014/1/9,15862.01
2014/1/9,15867.76
2014/1/9,15864.19
2014/1/9,15867.4
2014/1/9,15890.58
2014/1/9,15891.31
2014/1/9,15869.94
2014/1/9,15851.33
2014/1/9,15849.4
2014/1/9,15857.64
2014/1/9,15875.12
2014/1/9,15865.95
2014/1/9,15861.47
2014/1/9,15859.86
2014/1/9,15884.98
2014/1/9,15880.33
2014/1/10,15814.49
2014/1/10,15842.84
2014/1/10,15877.1
2014/1/10,15877.99
2014/1/10,15872.81
2014/1/10,15855.66
2014/1/10,15856.91
2014/1/10,15851.69
2014/1/10,15841.81
2014/1/10,15836.82
2014/1/10,15853.95
2014/1/10,15839.43
